一,いち|ひと|かず|いつ|,One
宮,きゅう|みや|,Shinto Shrine|Shrine|Palace
各,かく|おの|,Each
案,あん|,Plan
置,ち|お|,Put
費,ひ|つい|,Expense|Cost
価,か|あたい|,Value
勢,せい|せ|いきお|,Force
営,えい|いとな|,Manage
示,じ|し|しめ|,Indicate|Show
統,とう|す|,Unite
領,りょう|,Territory
策,さく|,Plan
藤,とう|どう|ふじ|,Wisteria
副,ふく|,Vice|Side
観,かん|み|,View
値,ち|ね|あたい|,Value|Price
吸,きゅう|す|,Suck|Inhale
域,いき|,Region|Boundary
姿,し|すがた|,Figure|Shape|Form
応,おう|,Respond
提,てい|,Present|Submit
援,えん|,Aid|Assist
状,じょう|,Condition
態,たい|わざ|,Appearance
賀,が|,Congratulations
収,しゅう|おさ|,Obtain
停,てい|,Halt
革,かく|かわ|,Leather
職,しょく|,Employment
鬼,き|おに|,Demon
規,き|,Standard
護,ご|,Defend
割,かつ|わり|わ|,Divide
裁,さい|さば|た|,Judge
崎,き|さき|,Cape
演,えん|,Perform|Performance
律,りつ|,Law
師,し|,Teacher|Expert|Master
看,かん|,Watch Over
準,じゅん|,Standard
則,そく|のっと|,Rule
備,び|そな|,Provide|Equip
導,どう|みちび|,Lead
幹,かん|みき|,Tree Trunk
張,ちょう|は|,Stretch
優,ゆう|やさ|すぐ|,Superior|Gentle
宅,たく|,House|Home
沢,たく|さわ|,Swamp
贅,ぜい|いぼ|,Luxury
施,し|ほどこ|,Carry Out
現,げん|あらわ|,Present Time|Present
乳,にゅう|ちち|,Milk
呼,こ|よ|,Call
城,じょう|しろ|,Castle
俳,はい|,Haiku
秀,しゅう|ひい|,Excel
担,たん|にな|かつ|,Carry|Bear
額,がく|ひたい|,Amount|Framed Picture|Forehead
製,せい|,Manufacture
違,い|ちが|,Different
輸,ゆ|,Transport
燃,ねん|も|,Burn
祝,しゅく|しゅう|いわ|,Celebrate
届,とど|,Deliver
狭,きょう|せま|せば|,Narrow
肩,けん|かた|,Shoulder
腕,わん|うで|,Arm
腰,よう|こし|,Waist
触,しょく|さわ|ふ|,Touch
載,さい|の|,Publish
層,そう|,Layer
型,けい|かた|,Model|Type
庁,ちょう|,Agency|Government Office
視,し|み|,Look At
差,さ|さ|,Distinction
管,かん|くだ|,Pipe
象,ぞう|しょう|,Elephant|Phenomenon
量,りょう|はか|,Quantity|Amount
境,きょう|さかい|,Boundary
環,かん|,Loop
武,ぶ|む|たけ|,Military
質,しつ|しち|,Quality
述,じゅつ|の|,Mention
供,きょう|とも|そな|,Servant|Companion
展,てん|のぶ|のび|,Expand
販,はん|,Sell
株,しゅ|かぶ|,Stocks|Shares
限,げん|かぎ|,Limit
与,よ|あた|,Give
含,がん|ふく|,Include
影,えい|かげ|,Shadow
況,きょう|,Condition
渡,と|わた|,Transit
響,きょう|ひび|,Echo|Reverberation|Resound
票,ひょう|,Ballot
景,けい|,Scene
抜,ばつ|はつ|はい|ぬ|,Extract
訴,そ|うった|,Sue
訟,しょう|,Lawsuit
逮,たい|,Apprehend
補,ほ|おぎな|,Supplement
候,こう|,Climate|Weather|Candidate
構,こう|かま|,Set Up|Care
模,も|ぼ|,Imitation
